ERIOMORG,ERIOSCUL,MICRLAZA,MICRBREV,MYRIHARD,MYRISTRI,MICAMINI,ISOECORO,CENTEXSE,PORTBICO,PORTROCK,HYDRPERI,NUMBINNU,CATCSIZE,MAXIDEPT,SEDIDEPT,SURFAREA,POOLVOLU,
0,0,0,0,0,0,0,0,0,0,0,53.4,4,7.5,22,0,1.2,26.4,
0,0,0,0,0,0,0,0,1,0,0,90.8,2.8,11,21,22,1.1,23.1,
0,0,0,0,0,0,0,0,0,0,0,28,6.8,1,19,8,1.5,28.5,
0,0,0,0,0,0,0,0,0,0,0,40.8,5.2,3,21,12,2.1,44.1,
0,0,0,0,0,0,0,0,0,0,0,65.3,3.6,3,17,16,0.6,10.2,
0,0,0,0,0,0,0,0,0,0,0,87.4,2.8,6,18,12,0.3,5.4,
0,0,0,0,0,0,0,0,0,0,0,61.7,3.7,2,17,12,0.3,5.1,
0,0,0,0,0,0,0,0,0,0,0,40,5.2,1,19,13,0.7,13.3,
0,0,0,0,0,0,0,0,0,0,0,17.8,9.8,0,20,9,0.6,12,
0,0,0,0,0,0,0,0,0,0,0,50.5,4.3,8,18,10,2.3,41.4,
0,0,0,0,0,0,0,0,0,0,0,42.1,5,3,21,11,1.8,37.8,
0,0,0,0,0,0,0,0,0,0,0,64.5,3.6,6,22,12,1.3,28.6,
0,0,1,0,0,0,0,0,0,0,0,31.7,6.5,4.5,23,15,4.2,96.6,
0,0,0,0,0,0,0,0,0,0,0,41.5,5.3,3,18,24,2.6,46.8,
0,0,0,0,0,0,0,0,0,0,0,40.9,5.2,1.5,22,15,1.2,26.4,
0,0,0,0,0,0,0,0,1,0,0,96.4,2.6,7,19,15,0.4,7.6,
0,0,0,0,0,0,0,0,0,0,0,18.6,10,0,23,21,2.1,48.3,
1,0,0,0,0,0,0,0,0,0,0,108.9,2.7,16,28,41,1.8,50.4,
0,0,0,0,0,0,0,0,0,0,0,83.9,3,7,18,22,0.8,14.4,
0,0,0,0,0,0,0,0,0,0,0,71.1,3.4,4.5,17,18,0.7,11.9,
0,0,1,0,0,0,0,0,1,0,0,76.7,3.1,9.5,21,13,1.1,23.1,
0,0,0,0,0,0,0,0,0,0,1,31.4,6.6,1,27,12,1.7,45.9,
0,0,0,0,0,0,0,0,0,0,0,20.5,9.5,0,32,17,2.2,70.4,
0,0,0,0,0,0,0,0,0,0,0,93.8,2.8,13,25,23,1.5,37.5,
1,0,0,0,0,0,0,0,0,1,0,41.3,5.7,4,43,13,4.8,206.4,
0,0,0,0,0,0,0,0,0,0,0,68.7,3.8,6,47,12,2.1,98.7,
0,0,0,0,0,0,0,0,0,0,0,73.3,3.3,9.5,27,12,1.7,45.9,
0,0,1,0,0,0,0,0,0,1,0,63.2,4.1,3,23,35,1.3,29.9,
0,0,0,0,0,0,0,0,1,0,0,50.1,4.7,2,22,27,1.2,26.4,
0,0,0,0,0,0,0,0,0,0,0,66.8,3.6,7,28,13,1.8,50.4,
0,0,0,0,0,0,0,0,0,0,0,49,4.2,4,18,0,0.8,14.4,
0,0,0,0,0,0,0,0,0,0,0,70.6,3.5,5.5,22,20,1.2,26.4,
0,0,0,0,0,0,0,0,0,0,0,48.9,4.5,3,22,11,1.2,26.4,
0,0,0,0,0,0,0,0,0,0,0,27.7,6.7,1,23,0,1.3,29.9,
0,0,0,0,0,0,0,0,0,0,1,17.7,10,0,21,13,1.1,23.1,
0,0,0,0,0,0,0,0,0,0,0,34.4,6.1,1,23,15,1.3,29.9,
0,0,0,0,0,0,0,0,1,0,0,42.3,5.1,1.5,21,15,1.1,23.1,
0,0,0,0,0,0,0,0,0,0,0,61,3.7,3,19,10,0.6,11.4,
0,0,0,0,0,0,0,0,0,0,0,79.7,3.3,3,24,31,0.8,19.2,
0,0,0,0,0,0,0,0,0,0,0,35.9,6,2.5,21,20,3.1,65.1,
0,0,1,0,0,0,0,0,1,0,0,47.4,5.1,4.5,22,35,4.3,94.6,
0,0,0,0,0,0,0,0,0,0,0,58,3.8,3,22,0,0.4,8.8,
0,0,0,0,0,0,0,0,0,0,0,120.6,2.4,6,19,40,0.3,5.7,
0,0,0,0,0,0,0,0,0,0,0,83.7,3,4.5,20,22,0.6,12,
0,0,0,0,0,0,0,0,0,0,0,72.2,3.4,3,21,18,0.5,10.5,
0,0,0,0,0,0,0,0,0,0,0,44.3,5,1.5,22,19,1.1,24.2,
0,0,0,0,0,0,0,0,0,0,0,53.9,4.1,7,21,11,2.3,48.3,
0,0,0,0,0,0,0,0,0,0,0,15.4,11.2,0,19,17,0.3,5.7,
0,0,0,0,0,0,0,0,0,0,0,22.9,8.9,0,51,3,0.2,10.2,
0,0,0,0,0,0,0,0,0,0,0,39.1,6,7,27,28,9.3,251.1,
0,0,0,0,0,0,0,0,0,0,0,36.9,6.3,4.5,23,35,7.8,179.4,
0,0,0,0,0,0,0,0,0,0,0,58.2,4.2,9,22,29,4.1,90.2,
0,0,0,0,0,0,0,0,0,0,0,59.2,3.8,11,20,10,2.6,52,
0,0,0,0,0,0,0,0,0,0,0,71.7,3.5,6,19,27,1.4,26.6,
